rr_test,trades,win_rate,total_r,avg_r,profit_factor
1.0,29610,50.99290780141844,-2373.0000000000014,-0.08014184397163125,0.8513353506118153
1.1,29610,48.68625464370145,-2297.4000000000015,-0.07758865248226955,0.8625414338196219
1.2,29610,46.51806822019588,-2268.2000000000003,-0.07660249915569066,0.8697903510988124
1.3,29610,44.549138804457954,-2231.699999999999,-0.07536980749746704,0.8764347291663691
1.4,29610,42.860520094562645,-2112.599999999998,-0.07134751773049638,0.8864858765562595
1.5,29610,41.11111111111111,-2138.4999999999973,-0.07222222222222213,0.8885077186964446
1.6,29610,39.45288753799392,-2197.7999999999965,-0.07422492401215794,0.8885542168675153
1.7,29610,38.031070584262075,-2166.2999999999956,-0.07316109422492387,0.8926718820446448
1.8,29610,36.81526511313745,-2048.199999999995,-0.06917257683215113,0.9004757068790866
1.9,29610,35.56568726781493,-2031.0999999999942,-0.0685950692333669,0.9032205804573765
2.0,29610,34.390408645727796,-2021.9999999999936,-0.06828774062816595,0.9053800474504048
2.1,29610,33.18473488686255,-2110.399999999993,-0.07127321850726082,0.9030254016101583
2.2,29610,32.20533603512327,-2055.7999999999925,-0.06942924687605513,0.9068990190839769
2.3,29610,31.16852414724755,-2115.299999999992,-0.07143870314083053,0.9056474167116842
2.4,29610,30.249915569064505,-2117.1999999999916,-0.07150287065180654,0.9068064071695913
2.5,29610,29.395474501857482,-2106.999999999991,-0.07115839243498787,0.9083777601906771
2.6,29610,28.503883823032762,-2186.9999999999905,-0.07386018237082034,0.9060849400953715
2.7,29610,27.71361026680176,-2208.79999999999,-0.07459642012833469,0.9061857596711288
2.8,29610,26.994258696386357,-2197.59999999999,-0.07421816953731813,0.9075811545627361
2.9,29610,26.234380276933468,-2275.7999999999897,-0.07685916919959439,0.9052784044085593
3.0,29610,25.545423843296184,-2314.999999999989,-0.07818304626815228,0.9045384444096605
3.1,29610,24.88348530901722,-2362.199999999989,-0.07977710233029345,0.9034504745322491
3.2,29610,24.319486659912194,-2326.7999999999884,-0.07858156028368755,0.9056061079355666
3.3,29610,23.765619723066532,-2311.8999999999883,-0.07807835190813875,0.906891982779142
3.4,29610,23.221884498480243,-2316.599999999988,-0.0782370820668689,0.9073634204275903
3.5,29610,22.66801756163458,-2366.9999999999877,-0.07993920972644336,0.9060259331899143
3.6,29610,22.1580547112462,-2390.3999999999874,-0.08072948328267435,0.9057186468354346
3.7,29610,21.708882134414047,-2359.3999999999874,-0.07968253968253926,0.9074752354883854
3.8,29610,21.27659574468085,-2330.999999999987,-0.07872340425531871,0.9090909090909451
3.9,29610,20.77676460655184,-2426.1999999999866,-0.08193853427895936,0.9059750889404246
4.0,29610,20.371496116176967,-2410.9999999999864,-0.08142519419115117,0.9070396903122683
4.1,29610,20.00337723741979,-2363.6999999999807,-0.07982776089159002,0.9092828056817098
4.2,29610,19.591354272205336,-2405.799999999983,-0.08124957784532195,0.9081401609017571
4.3,29610,19.21648091860858,-2411.799999999985,-0.08145221209050946,0.908330736075566
4.4,29610,18.861870989530562,-2409.7999999999843,-0.08138466734211362,0.9088070901749814
4.5,29610,18.50726106045255,-2428.7999999999797,-0.08202634245187368,0.9084880636605129
4.6,29610,18.152651131374537,-2468.7999999999824,-0.08337723741979002,0.9073839955282964
4.7,29610,17.79804120229652,-2529.7999999999847,-0.08543735224586237,0.9055050463547809
4.8,29610,17.423167848699762,-2646.5999999999835,-0.08938196555217776,0.901591067119344
4.9,29610,17.078689631881122,-2732.49999999998,-0.09228301249577778,0.8988191556722712
5.0,29610,16.75785207700101,-2795.699999999982,-0.09441742654508552,0.8968737896309754
