time,symbol,pnl_r,dollar_pnl,balance,type,regime,scalar,dd
2025-11-14 08:40:00,AUDJPY,2.0,500.0,50500.0,SNIPER,TRENDING,1.0,0.0
2025-11-14 13:05:00,AUDJPY,-1.0,-252.5,50247.5,CHAMPION,CALM_RANGE,1.0,-0.5
2025-11-14 15:50:00,AUDJPY,-1.0,-144.13770878721616,50103.36229121278,SNIPER,TRENDING,1.0,-0.7854212055192415
2025-11-17 07:25:00,AUDJPY,-1.0,-250.51681145606392,49852.84547975672,SNIPER,TRENDING,1.0,-1.2814940994916486
2025-11-17 10:20:00,AUDJPY,-1.0,-249.2642273987836,49603.58125235794,SNIPER,TRENDING,1.0,-1.7750866289941842
2025-11-17 16:30:00,AUDJPY,-1.0,-248.0179062617897,49355.56334609615,SNIPER,TRENDING,1.0,-2.2662111958492135
2025-11-18 06:45:00,AUDJPY,-1.0,-197.4222533843846,49158.14109271176,SNIPER,TRENDING,0.8,-2.657146351065819
2025-11-18 09:30:00,AUDJPY,-1.0,-196.63256437084706,48961.50852834091,SNIPER,TRENDING,0.8,-3.0465177656615574
2025-11-18 14:00:00,AUDJPY,-1.0,-97.92301705668183,48863.58551128423,SNIPER,TRENDING,0.4,-3.2404247301302322
2025-11-18 16:50:00,AUDJPY,-1.0,-64.33705425652421,48799.24845702771,SNIPER,TRENDING,0.4,-3.367824837568895
2025-11-19 06:20:00,AUDJPY,-1.0,-97.59849691405543,48701.64996011365,SNIPER,TRENDING,0.4,-3.5610891878937565
